Группа;Место;Балл, %;Широта;Долгота;Координаты для карт;Ближайший пункт;Тип пункта;До пункта, км;От границы Ташкента, км;Район;Население гекса, чел;Рынков 3км;Супермаркетов 3км;Из них сетевых;Банков 3км;Радиус поиска ЖК, км;Новостроек рядом;Квартир в них;Ввод жилья в районе, тыс. м²/год;Объявлений аренды 2км;Дешевейшее, $/мес;Зона Uzum;Признаков в оценке;Ссылка на карту
город Ташкент;34;80;41.294801;69.328465;41.294801, 69.328465;Куксарай махалля;махалля;0.3;0.0;Яшнободский район;3268;6;25;14;34;0.5;0;0;141.0;10;300;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.294801,69.328465
город Ташкент;35;80;41.350091;69.389548;41.350091, 69.389548;Ахмада Югнаки (Солнечный);махалля;0.3;0.0;Мирзо Улугбекский район;13244;4;20;10;6;0.5;0;0;98.2;4;700;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.350091,69.389548
город Ташкент;36;78;41.334298;69.226758;41.334298, 69.226758;Чигатай Дарваза махалля;махалля;0.1;0.0;Алмазарский район;10288;7;52;24;50;0.5;0;0;59.2;21;250;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.334298,69.226758
город Ташкент;37;78;41.347834;69.235066;41.347834, 69.235066;Гуруч Арык махалля;махалля;0.4;0.0;Алмазарский район;13409;11;43;21;31;0.5;0;0;59.2;18;10;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.347834,69.235066
город Ташкент;38;78;41.389937;69.271943;41.389937, 69.271943;Бешкурган;село;0.7;0.0;Юнусабадский район;1877;3;11;7;13;0.5;1;600;139.7;4;1575;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.389937,69.271943
город Ташкент;39;77;41.286991;69.193757;41.286991, 69.193757;Чиланзар Г 9А;махалля;0.3;0.0;Учтепинский район;16603;9;58;21;47;0.5;0;0;47.6;35;200;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.286991,69.193757
город Ташкент;40;76;41.401782;69.458556;41.401782, 69.458556;Улугбек;город;0.4;0.0;Кибрайский район;3473;0;5;2;6;0.5;0;0;213.9;0;;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.401782,69.458556
город Ташкент;41;76;41.381746;69.251894;41.381746, 69.251894;Ибрагим-Ата махалля;махалля;1.4;0.0;Юнусабадский район;2691;3;12;6;5;0.5;0;0;139.7;0;;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.381746,69.251894
город Ташкент;42;74;41.299391;69.26531;41.299391, 69.265310;Багсарай махалля;махалля;0.3;0.0;Яккасарайский район;11879;5;47;19;102;0.5;0;0;31.8;148;300;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.299391,69.265310
город Ташкент;43;74;41.310079;69.241886;41.310079, 69.241886;Алмазар массив;махалля;0.3;0.0;Чиланзарский район;12235;6;45;19;79;0.5;0;0;28.3;84;250;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.310079,69.241886
